date;Euro;Amerikanske dollar;Britiske pund ;Svenske kroner
2016M07D29;7.437.400;6.692.500;8.812.100;777.400
2016M08D01;7.438.900;6.663.300;8.799.300;776.200
2016M08D02;7.439.000;6.646.100;8.823.400;778.700
2016M08D03;7.438.700;6.641.700;8.865.100;781.800
2016M08D04;7.438.300;6.679.500;8.792.000;782.100
2016M08D05;7.437.300;6.666.600;8.769.400;782.500
2016M08D08;7.436.800;6.707.700;8.753.800;780.800
2016M08D09;7.436.700;6.713.000;8.708.200;783.800
2016M08D10;7.438.400;6.650.900;8.695.700;784.600
2016M08D11;7.438.600;6.669.600;8.645.700;788.700
2016M08D12;7.439.800;6.667.700;8.645.900;789.000
2016M08D15;7.440.500;6.655.200;8.584.200;786.500
2016M08D16;7.439.700;6.586.700;8.545.500;787.000
2016M08D17;7.441.300;6.599.200;8.588.800;783.700
2016M08D18;7.441.700;6.573.400;8.645.800;785.300
2016M08D19;7.441.700;6.570.500;8.599.400;783.900
2016M08D22;7.442.100;6.582.400;8.629.500;784.800
2016M08D23;7.442.300;6.563.500;8.654.300;786.100
2016M08D24;7.443.200;6.605.600;8.743.300;787.300
2016M08D25;7.444.100;6.593.500;8.699.400;784.000
2016M08D26;7.446.200;6.595.400;8.714.100;784.600
2016M08D29;7.445.100;6.665.300;8.710.200;784.200
2016M08D30;7.444.800;6.666.200;8.741.100;783.600
2016M08D31;7.443.200;6.686.300;8.776.700;782.200
2016M09D01;7.441.800;6.676.700;8.854.000;779.300
2016M09D02;7.440.300;6.647.300;8.830.200;775.200
2016M09D05;7.440.700;6.669.700;8.895.800;779.300
2016M09D06;7.441.500;6.668.600;8.908.200;780.400
2016M09D07;7.444.100;6.624.600;8.865.400;783.100
2016M09D08;7.442.900;6.589.000;8.801.900;783.900
2016M09D09;7.442.800;6.605.300;8.802.000;783.300
2016M09D12;7.443.400;6.630.500;8.811.400;778.700
2016M09D13;7.443.700;6.618.400;8.781.800;780.400
2016M09D14;7.444.200;6.635.900;8.749.900;780.800
2016M09D15;7.446.300;6.616.600;8.740.000;779.700
2016M09D16;7.447.100;6.633.800;8.740.400;779.200
2016M09D19;7.450.300;6.672.900;8.713.800;778.600
2016M09D20;7.452.000;6.663.100;8.643.700;778.200
2016M09D21;7.454.600;6.685.700;8.699.200;779.000
2016M09D22;7.454.300;6.633.100;8.675.400;777.800
2016M09D23;7.455.200;6.648.100;8.625.200;778.000
2016M09D26;7.453.900;6.618.600;8.558.800;775.800
2016M09D27;7.450.100;6.640.000;8.621.500;774.300
2016M09D28;7.451.100;6.638.000;8.643.200;774.800
2016M09D29;7.452.300;6.641.400;8.651.600;774.500
2016M09D30;7.451.300;6.676.200;8.653.900;774.500
2016M10D03;7.446.300;6.627.200;8.527.800;776.200
2016M10D04;7.441.800;6.667.700;8.501.000;775.100
2016M10D05;7.441.700;6.637.900;8.441.600;773.100
2016M10D06;7.441.300;6.652.900;8.425.100;772.600
2016M10D07;7.440.500;6.679.100;8.234.900;772.400
2016M10D10;7.440.900;6.667.500;8.261.200;770.100
2016M10D11;7.441.200;6.716.500;8.246.700;764.600
2016M10D12;7.439.900;6.751.300;8.267.500;764.500
2016M10D13;7.439.500;6.739.900;8.226.800;764.100
2016M10D14;7.439.800;6.762.200;8.274.700;766.500
2016M10D17;7.440.000;6.767.300;8.222.400;766.800
2016M10D18;7.440.700;6.768.600;8.307.600;766.900
2016M10D19;7.440.900;6.777.400;8.328.900;767.300
2016M10D20;7.440.300;6.776.200;8.306.900;766.700
2016M10D21;7.438.300;6.832.900;8.327.700;767.500
2016M10D24;7.439.400;6.830.800;8.357.500;766.600
2016M10D25;7.438.700;6.842.100;8.358.300;765.500
2016M10D26;7.438.500;6.808.700;8.314.400;764.000
2016M10D27;7.437.600;6.806.600;8.342.000;757.800
2016M10D28;7.438.200;6.810.300;8.273.400;754.200
2016M10D31;7.439.300;6.796.400;8.261.300;754.100
2016M11D01;7.438.900;6.747.300;8.249.600;752.900
2016M11D02;7.439.500;6.705.300;8.260.300;752.100
2016M11D03;7.440.600;6.725.100;8.392.500;751.100
2016M11D04;7.441.200;6.708.000;8.379.000;746.900
2016M11D07;7.440.800;6.726.500;8.356.700;745.300
2016M11D08;7.441.800;6.742.000;8.353.300;750.300
2016M11D09;7.441.700;6.751.700;8.358.600;744.000
2016M11D10;7.441.400;6.830.100;8.476.800;751.000
2016M11D11;7.442.300;6.825.300;8.640.500;754.700
2016M11D14;7.442.500;6.905.900;8.655.600;758.700
2016M11D15;7.443.400;6.914.400;8.591.400;755.600
2016M11D16;7.442.200;6.954.000;8.642.700;756.900
2016M11D17;7.441.900;6.944.000;8.647.800;756.500
2016M11D18;7.439.900;6.999.600;8.629.200;757.300
2016M11D21;7.440.900;6.999.200;8.680.000;758.200
2016M11D22;7.439.900;7.007.500;8.709.500;759.400
2016M11D23;7.439.800;7.017.400;8.712.400;760.200
2016M11D24;7.437.300;7.050.900;8.770.400;761.600
2016M11D25;7.438.000;7.022.300;8.731.900;760.200
2016M11D28;7.438.900;7.025.800;8.720.600;760.600
2016M11D29;7.439.100;7.033.900;8.771.000;761.700
2016M11D30;7.440.300;6.996.100;8.727.600;762.800
2016M12D01;7.440.100;7.001.100;8.846.900;759.700
2016M12D02;7.439.800;6.991.000;8.825.100;759.300
2016M12D05;7.439.600;6.951.600;8.839.000;759.000
2016M12D06;7.438.400;6.929.800;8.833.200;758.800
2016M12D07;7.437.800;6.931.800;8.740.600;761.000
2016M12D08;7.439.000;6.912.300;8.752.300;765.100
2016M12D09;7.436.900;7.043.200;8.860.300;767.400
2016M12D12;7.437.100;7.018.800;8.864.200;763.200
2016M12D13;7.437.000;7.009.400;8.907.900;765.300
2016M12D14;7.435.900;6.986.000;8.856.200;762.200
2016M12D15;7.435.000;7.136.000;8.893.800;761.100
2016M12D16;7.434.000;7.121.400;8.861.600;759.400
2016M12D19;7.434.300;7.133.300;8.835.600;760.200
2016M12D20;7.434.300;7.173.200;8.852.700;764.300
2016M12D21;7.434.200;7.133.900;8.825.000;771.300
2016M12D22;7.434.200;7.118.200;8.782.800;774.300
2016M12D23;7.434.200;7.116.800;8.717.600;770.700
2016M12D27;7.435.200;7.118.400;8.716.500;769.800
2016M12D28;7.435.100;7.148.400;8.734.000;776.200
2016M12D29;7.433.800;7.111.600;8.714.900;777.700
2016M12D30;7.434.400;7.052.800;8.683.200;778.300
2017M01D02;7.434.900;7.104.500;8.732.600;779.000
2017M01D03;7.434.100;7.158.500;8.791.000;779.700
2017M01D04;7.434.300;7.123.000;8.751.900;780.600
2017M01D05;7.434.100;7.079.400;8.701.000;779.700
2017M01D06;7.434.300;7.020.800;8.680.100;778.300
2017M01D09;7.433.900;7.069.100;8.578.200;778.100
2017M01D10;7.433.900;7.035.000;8.550.600;777.600
2017M01D11;7.433.800;7.077.800;8.571.700;776.800
2017M01D12;7.434.200;6.961.500;8.560.500;781.800
2017M01D13;7.435.000;6.974.000;8.492.500;783.700
2017M01D16;7.436.100;7.019.200;8.468.600;784.200
2017M01D17;7.436.400;6.960.300;8.568.300;782.500
2017M01D18;7.436.100;6.973.100;8.563.700;780.100
2017M01D19;7.436.000;6.970.400;8.591.100;778.800
2017M01D20;7.435.900;6.993.900;8.587.000;782.100
2017M01D23;7.436.200;6.940.000;8.631.900;781.800
2017M01D24;7.436.100;6.918.600;8.611.600;782.900
2017M01D25;7.436.600;6.922.300;8.715.800;784.200
2017M01D26;7.436.700;6.950.200;8.734.400;785.600
2017M01D27;7.436.900;6.962.700;8.731.800;786.700
2017M01D30;7.437.500;6.996.700;8.756.700;788.000
2017M01D31;7.437.300;6.915.200;8.637.500;787.000
2017M02D01;7.437.000;6.892.500;8.706.600;789.000
2017M02D02;7.437.800;6.881.800;8.641.800;789.700
2017M02D03;7.437.600;6.924.500;8.647.100;787.700
2017M02D06;7.437.200;6.942.900;8.652.900;786.100
2017M02D07;7.435.300;6.965.200;8.612.600;784.200
2017M02D08;7.434.200;6.970.700;8.713.800;786.500
2017M02D09;7.434.700;6.953.500;8.737.500;784.000
2017M02D10;7.434.400;6.994.400;8.716.600;783.600
2017M02D13;7.435.900;6.995.900;8.759.500;784.500
2017M02D14;7.435.900;6.999.800;8.738.000;785.600
2017M02D15;7.434.500;7.043.600;8.746.700;786.700
2017M02D16;7.434.100;6.979.100;8.734.700;784.600
2017M02D17;7.433.400;6.979.700;8.671.700;786.800
2017M02D20;7.433.300;7.002.000;8.730.200;784.200
2017M02D21;7.433.300;7.054.500;8.759.500;785.000
2017M02D22;7.433.200;7.070.500;8.801.900;784.900
2017M02D23;7.433.500;7.030.600;8.783.700;782.700
2017M02D24;7.434.400;7.007.600;8.797.800;781.000
2017M02D27;7.433.100;7.021.000;8.716.100;777.900
2017M02D28;7.433.200;7.014.400;8.713.700;776.900
2017M03D01;7.433.300;7.057.200;8.688.800;780.300
2017M03D02;7.433.600;7.070.200;8.688.200;780.900
2017M03D03;7.433.700;7.036.200;8.608.300;779.400
2017M03D06;7.433.700;7.018.200;8.613.800;779.700
2017M03D07;7.434.000;7.029.100;8.573.400;780.700
2017M03D08;7.433.500;7.042.000;8.568.600;780.600
2017M03D09;7.433.700;7.045.500;8.578.700;778.200
2017M03D10;7.433.100;7.008.400;8.519.300;776.100
2017M03D13;7.434.000;6.971.800;8.519.600;777.200
2017M03D14;7.433.800;6.992.600;8.489.700;782.800
2017M03D15;7.433.900;6.998.600;8.537.500;777.600
2017M03D16;7.434.300;6.931.100;8.563.900;783.900
2017M03D17;7.434.300;6.924.000;8.558.200;785.800
2017M03D20;7.434.600;6.914.600;8.565.900;781.900
2017M03D21;7.435.300;6.883.300;8.570.700;783.300
2017M03D22;7.437.200;6.881.800;8.569.200;782.000
2017M03D23;7.435.600;6.893.800;8.618.700;781.900
2017M03D24;7.437.800;6.883.700;8.588.700;779.900
2017M03D27;7.440.400;6.833.000;8.611.300;779.100
2017M03D28;7.440.600;6.852.000;8.606.300;780.600
2017M03D29;7.441.200;6.923.300;8.614.000;779.100
2017M03D30;7.438.600;6.928.000;8.631.500;777.900
2017M03D31;7.437.900;6.957.200;8.693.900;780.300
2017M04D03;7.437.400;6.976.300;8.723.200;781.700
2017M04D04;7.437.500;6.982.900;8.686.300;773.900
2017M04D05;7.435.400;6.963.300;8.695.400;776.600
2017M04D06;7.435.000;6.970.700;8.686.800;775.300
2017M04D07;7.436.300;6.995.600;8.690.000;774.900
2017M04D10;7.436.300;7.030.000;8.714.200;773.800
2017M04D11;7.437.200;7.005.700;8.715.800;775.400
2017M04D12;7.436.900;7.012.600;8.765.800;778.300
2017M04D18;7.438.100;6.963.200;8.815.500;775.500
2017M04D19;7.438.700;6.935.900;8.916.100;773.300
2017M04D20;7.438.100;6.922.400;8.863.300;773.200
2017M04D21;7.436.900;6.951.700;8.883.100;771.500
2017M04D24;7.439.000;6.857.500;8.769.300;776.300
2017M04D25;7.439.600;6.831.000;8.759.900;774.900
2017M04D26;7.439.500;6.829.600;8.762.400;778.100
2017M04D27;7.438.700;6.836.400;8.811.500;772.900
2017M04D28;7.438.300;6.805.400;8.805.500;772.300
